Aktiv - daamob;Aktiv - VM_froehlich;Aktiv - Terminallizenzserver;Aktiv - VM-carlos-neu-win;Aktiv - ownCloud-TEST;Aktiv - management;Aktiv - cloudstorage;Aktiv - droidcandy;Aktiv - groupware;Aktiv - MaPBiquitous;Aktiv - percol;Aktiv - Promotionsinfosys;Aktiv - promotionsinfosys2;Aktiv - VM_Zille;Aktiv - vm-amcs-dev;Aktiv - vm-carlos-neu;Aktiv - vm-wiki-haec;Aktiv - VM-collabware;Aktiv - VM-SAP-Lehre;Aktiv - VM-mobilephonesensing;Aktiv - buddelflink;Aktiv - VM-Gleichstellung;Aktiv - VM-wutzler;Aktiv - VM-IoT-Praktikum;Aktiv - vm-svn-backup;Aktiv - VM-Cyface;Aktiv - VM-Kubica;Aktiv - VM-Czechmann;Aktiv - VM-Fetzer1;Aktiv - VM-Fetzer2;Aktiv - openresearchdata-zih;Aktiv - effingo-vm-zih;Aktiv - VM-Percol-neu;Aktiv - VM-Haufe;Aktiv - FlexCloudFreeNAS;Aktiv - Matlab
0;125828;0;167772;0;0;20968;10484;41940;2013264;0;31456;31456;0;0;0;62912;0;178256;20968;20968;0;0;0;0;1006632;41940;167772;0;0;41940;251656;20968;335544;0;125828
83884;125828;0;167772;0;0;20968;10484;41940;2013264;0;31456;31456;0;0;0;62912;0;178256;20968;10484;0;0;0;0;1006632;41940;167772;0;0;41940;83884;20968;293600;0;125828
83884;125828;83884;83884;0;0;20968;10484;41940;2013264;0;31456;31456;0;0;0;62912;0;178256;20968;10484;0;0;0;0;1006632;41940;167772;0;0;41940;83884;20968;293600;0;125828
83884;125828;125828;83884;0;0;20968;10484;41940;1509948;0;31456;31456;0;0;0;73400;0;125828;20968;10484;0;0;0;0;1006632;41940;167772;0;0;20968;83884;20968;293600;0;41940
83884;125828;125828;83884;0;0;20968;10484;41940;1509948;0;31456;31456;0;0;0;73400;0;125828;0;10484;0;0;0;0;838860;41940;167772;0;0;20968;167772;20968;335544;0;41940
83884;83884;125828;83884;20968;0;20968;10484;41940;1509948;0;31456;31456;0;0;0;73400;0;125828;20968;10484;0;0;0;0;838860;41940;209712;0;0;20968;167772;20968;335544;0;41940
83884;83884;41940;83884;20968;0;20968;10484;41940;1845492;0;62912;31456;0;0;0;73400;0;104856;20968;10484;0;0;0;0;838860;41940;209712;0;0;20968;167772;20968;335544;104856;41940
0;83884;41940;125828;20968;0;20968;10484;0;1845492;0;62912;31456;0;0;0;73400;0;104856;20968;10484;0;0;62912;0;1006632;41940;209712;0;0;20968;83884;20968;209712;104856;41940
0;41940;41940;125828;20968;0;20968;10484;0;1845492;0;62912;62912;0;0;0;73400;0;104856;20968;10484;0;0;62912;0;1006632;41940;209712;0;0;20968;83884;20968;209712;104856;41940
0;41940;41940;125828;20968;0;20968;10484;0;1677720;0;62912;62912;0;83884;0;41940;0;83884;20968;10484;0;0;62912;0;1006632;0;209712;0;0;20968;83884;20968;209712;0;83884
0;41940;41940;125828;20968;0;20968;10484;0;1677720;0;62912;62912;0;83884;0;41940;0;83884;20968;10484;0;0;62912;0;838860;0;209712;0;0;20968;83884;20968;167772;209712;83884
41940;41940;41940;83884;10484;0;20968;10484;41940;1677720;0;62912;62912;0;83884;0;41940;0;83884;20968;10484;0;0;62912;0;838860;0;251656;0;0;20968;83884;20968;167772;209712;83884
41940;41940;83884;83884;10484;0;20968;10484;41940;1174404;0;62912;62912;0;83884;0;41940;0;73400;20968;10484;0;0;62912;0;1006632;0;251656;0;0;20968;83884;20968;167772;209712;41940
0;41940;83884;83884;10484;0;20968;10484;41940;1174404;0;62912;62912;0;83884;0;41940;0;73400;0;20968;0;0;62912;0;1006632;0;251656;0;0;20968;167772;20968;251656;209712;41940
0;41940;83884;167772;20968;0;20968;10484;41940;1174404;0;62912;94368;0;83884;0;41940;0;73400;0;20968;0;0;62912;0;1006632;0;251656;0;0;20968;167772;20968;251656;209712;41940
0;41940;83884;167772;20968;0;20968;20968;41940;1342176;0;31456;94368;0;0;0;41940;0;62912;0;20968;0;0;62912;0;1006632;0;251656;0;0;62912;167772;20968;251656;104856;41940
0;41940;83884;167772;20968;0;20968;20968;41940;1342176;0;31456;94368;0;0;0;41940;0;62912;20968;10484;62912;0;62912;0;838860;0;251656;0;0;62912;167772;20968;167772;104856;41940
0;41940;83884;167772;20968;41940;20968;20968;0;1342176;0;31456;31456;0;0;0;41940;0;62912;20968;10484;62912;0;62912;0;838860;0;293600;0;0;62912;167772;10484;251656;104856;41940
0;41940;41940;167772;20968;41940;20968;20968;0;1174404;0;31456;31456;0;0;0;41940;0;52428;20968;10484;62912;0;62912;0;838860;0;293600;0;0;62912;167772;10484;251656;104856;41940
0;41940;83884;167772;20968;41940;20968;20968;20968;1174404;0;31456;31456;0;0;0;41940;0;52428;0;10484;62912;0;62912;0;838860;0;293600;0;0;62912;167772;10484;251656;104856;41940
0;41940;125828;167772;10484;41940;41940;10484;20968;1174404;0;31456;31456;0;0;0;31456;0;52428;0;10484;20968;0;62912;0;838860;0;293600;0;0;62912;167772;31456;251656;104856;41940
0;41940;125828;167772;10484;41940;41940;10484;20968;1677720;0;31456;31456;0;0;0;31456;0;73400;0;10484;20968;0;62912;0;838860;0;293600;0;0;62912;167772;31456;545256;209712;0
0;41940;125828;209712;10484;41940;41940;10484;20968;1677720;0;31456;31456;0;0;0;31456;0;73400;0;31456;20968;0;62912;0;1342176;0;293600;0;0;62912;251656;94368;629144;209712;0
0;41940;125828;251656;10484;41940;41940;0;20968;1677720;0;31456;94368;0;0;0;31456;0;73400;0;31456;41940;0;62912;0;1342176;0;293600;0;0;62912;251656;94368;629144;209712;0
0;41940;125828;251656;10484;41940;41940;0;20968;1174404;0;94368;94368;0;0;0;31456;0;73400;0;31456;41940;0;62912;0;1342176;0;293600;0;0;41940;251656;94368;629144;104856;41940
0;41940;125828;251656;10484;41940;41940;0;0;1174404;0;94368;94368;0;0;0;31456;0;73400;0;10484;41940;0;62912;0;1342176;0;293600;0;0;41940;251656;94368;587200;104856;41940
0;41940;125828;167772;0;0;20968;20968;0;1174404;0;94368;94368;0;0;0;41940;0;73400;0;10484;62912;0;62912;0;1342176;0;167772;0;0;41940;251656;83884;587200;104856;41940
0;41940;41940;167772;0;0;20968;20968;0;1509948;0;31456;94368;0;0;0;41940;0;41940;0;10484;62912;0;0;20968;1342176;0;167772;0;0;62912;251656;83884;587200;0;41940
0;41940;41940;167772;0;0;20968;20968;0;1509948;0;31456;94368;0;0;0;41940;0;41940;0;20968;62912;0;0;20968;1006632;0;167772;0;0;62912;419428;83884;796916;0;41940
0;41940;41940;83884;0;0;20968;10484;0;1509948;0;31456;31456;0;0;0;31456;0;41940;0;20968;0;0;0;20968;1006632;0;167772;0;0;62912;419428;94368;796916;0;41940
0;83884;167772;83884;0;0;20968;10484;0;1677720;0;31456;31456;0;0;0;31456;0;41940;0;20968;0;0;62912;20968;1006632;0;167772;0;0;62912;419428;94368;796916;209712;0
0;125828;167772;83884;10484;0;20968;10484;0;1677720;0;31456;94368;0;0;0;31456;0;41940;0;10484;0;0;62912;20968;1006632;0;167772;0;0;62912;167772;94368;713028;209712;0
0;125828;167772;209712;10484;41940;20968;10484;0;1677720;0;31456;94368;0;0;0;31456;0;52428;0;10484;0;0;62912;20968;1006632;0;125828;0;0;62912;167772;115340;713028;209712;0
0;125828;41940;209712;10484;41940;20968;10484;0;1845492;0;0;94368;0;0;0;31456;0;62912;0;10484;0;0;62912;0;1006632;41940;125828;0;0;62912;167772;115340;713028;104856;0
0;125828;41940;209712;10484;41940;20968;10484;0;1845492;0;0;94368;0;0;0;31456;0;62912;0;0;0;0;62912;0;1006632;41940;125828;0;0;62912;167772;115340;461372;104856;0
0;167772;41940;83884;10484;0;20968;20968;0;1845492;0;0;125828;0;0;0;20968;0;62912;0;0;0;0;62912;0;671088;41940;83884;0;0;62912;167772;52428;461372;104856;0
0;167772;41940;83884;41940;0;20968;20968;0;1509948;0;0;125828;0;0;0;41940;0;62912;0;0;0;0;62912;0;671088;41940;83884;0;0;20968;167772;52428;461372;104856;83884
0;167772;41940;83884;41940;0;20968;20968;0;1509948;0;0;125828;0;0;0;41940;0;62912;0;0;0;0;62912;0;671088;41940;83884;0;0;20968;167772;52428;545256;104856;83884
41940;41940;41940;83884;41940;0;20968;20968;0;1509948;0;31456;31456;0;0;0;41940;0;62912;0;0;0;0;62912;0;503316;41940;125828;0;0;20968;167772;52428;545256;104856;83884
41940;41940;0;83884;41940;0;20968;20968;0;1509948;0;31456;31456;0;0;0;41940;0;62912;0;0;0;0;62912;20968;671088;41940;125828;0;0;20968;167772;52428;545256;104856;0
0;41940;0;83884;41940;0;20968;20968;0;1509948;0;31456;31456;0;0;0;41940;0;62912;41940;20968;0;0;62912;20968;671088;41940;125828;0;0;20968;251656;52428;419428;104856;0
0;167772;0;41940;20968;0;41940;20968;20968;1509948;0;31456;94368;0;0;0;41940;0;62912;41940;20968;0;0;62912;20968;1006632;41940;251656;0;0;20968;251656;73400;419428;104856;0
0;167772;83884;41940;20968;0;41940;20968;20968;1342176;0;31456;94368;0;0;0;41940;0;73400;41940;20968;0;0;62912;0;1006632;41940;251656;0;0;41940;251656;73400;419428;0;0
0;167772;83884;41940;20968;41940;41940;20968;20968;1342176;0;31456;94368;0;0;0;41940;0;73400;41940;0;0;0;62912;0;1006632;41940;251656;0;0;41940;251656;73400;419428;0;0
0;125828;83884;41940;20968;41940;41940;20968;20968;1342176;0;31456;0;0;0;0;20968;0;73400;41940;0;0;0;62912;0;1677720;41940;251656;0;0;41940;251656;41940;419428;0;0
0;125828;83884;41940;20968;41940;83884;20968;20968;1174404;0;0;0;0;0;0;20968;0;62912;41940;0;0;0;62912;0;1677720;41940;251656;0;0;41940;251656;41940;419428;0;0
0;125828;83884;41940;20968;41940;83884;20968;20968;1174404;0;0;0;0;0;0;20968;0;62912;20968;0;0;0;62912;0;1677720;41940;251656;0;0;41940;167772;41940;335544;104856;0
0;83884;83884;167772;20968;41940;62912;31456;20968;1174404;0;0;0;0;0;0;31456;0;62912;20968;0;0;0;62912;0;838860;41940;461372;0;0;41940;167772;31456;335544;104856;0
0;83884;0;167772;52428;41940;62912;31456;20968;1342176;0;31456;0;0;0;0;52428;0;52428;20968;0;0;0;62912;0;838860;41940;461372;0;0;20968;167772;31456;335544;104856;0
0;83884;0;167772;52428;41940;62912;31456;20968;1342176;0;31456;0;0;0;0;52428;0;52428;0;0;0;0;62912;0;838860;41940;461372;0;0;41940;503316;31456;335544;209712;0
0;83884;0;167772;52428;0;62912;20968;20968;1342176;0;31456;0;0;0;0;52428;0;52428;0;0;0;0;62912;0;1342176;41940;503316;0;0;41940;503316;31456;335544;314572;0
0;83884;0;167772;20968;0;62912;20968;20968;1845492;0;125828;0;0;0;0;41940;0;62912;0;0;0;0;0;0;1342176;41940;503316;0;0;41940;503316;31456;335544;314572;0
0;83884;41940;167772;20968;41940;62912;20968;20968;1845492;0;125828;0;0;0;0;41940;0;62912;0;0;0;0;0;0;1342176;41940;503316;0;0;41940;251656;31456;461372;314572;0
0;41940;41940;41940;20968;41940;41940;41940;20968;1845492;0;125828;0;0;83884;0;41940;0;62912;0;0;0;0;0;0;1342176;41940;293600;0;0;41940;251656;31456;461372;314572;0
0;41940;83884;41940;41940;41940;41940;41940;20968;1845492;0;31456;0;0;83884;0;41940;0;52428;0;0;0;0;0;0;1342176;41940;293600;0;0;41940;251656;31456;461372;0;83884
0;41940;83884;41940;41940;41940;41940;41940;20968;1845492;0;31456;0;0;83884;0;41940;0;52428;20968;0;0;0;0;0;1342176;41940;293600;0;0;41940;335544;31456;377484;0;83884
41940;167772;83884;0;41940;41940;41940;20968;20968;1845492;0;31456;31456;0;83884;0;41940;0;52428;20968;0;0;0;0;0;838860;41940;209712;0;0;41940;335544;10484;377484;0;83884
41940;167772;83884;0;41940;41940;0;20968;20968;1174404;0;31456;31456;0;0;0;41940;0;41940;20968;0;0;0;62912;0;838860;41940;209712;0;0;20968;335544;10484;377484;104856;83884
41940;293600;83884;0;41940;41940;0;20968;20968;1174404;0;31456;31456;0;0;0;41940;0;41940;20968;0;0;0;125828;0;838860;41940;209712;0;0;20968;251656;10484;461372;104856;83884
0;293600;83884;83884;41940;0;0;20968;20968;1174404;0;62912;94368;0;0;0;31456;0;41940;20968;0;0;0;125828;0;838860;41940;167772;0;0;20968;251656;10484;461372;104856;83884
0;293600;41940;83884;20968;0;0;20968;20968;1174404;0;62912;94368;0;167772;0;52428;0;41940;20968;10484;0;0;125828;20968;838860;41940;167772;0;0;41940;251656;10484;461372;314572;83884
0;293600;41940;83884;20968;0;0;20968;20968;1174404;0;62912;94368;0;167772;0;52428;0;41940;0;10484;0;0;125828;20968;838860;41940;167772;0;0;41940;251656;10484;461372;314572;83884
0;293600;41940;83884;10484;41940;0;10484;20968;1174404;0;62912;62912;0;251656;0;73400;0;41940;0;41940;0;0;125828;20968;1342176;41940;167772;0;0;41940;251656;41940;461372;314572;83884
0;293600;83884;83884;10484;41940;20968;20968;20968;1174404;0;31456;62912;0;251656;0;73400;0;41940;0;41940;0;0;125828;41940;1342176;41940;167772;0;0;0;251656;41940;461372;104856;41940
0;293600;83884;83884;10484;41940;20968;20968;20968;1342176;0;31456;62912;0;251656;0;73400;0;41940;20968;41940;0;0;125828;41940;1342176;41940;167772;0;0;0;83884;41940;335544;104856;41940
0;335544;83884;41940;10484;41940;20968;20968;20968;1342176;0;31456;62912;0;251656;0;31456;0;41940;20968;41940;0;0;125828;41940;1006632;41940;125828;0;0;0;83884;31456;335544;104856;41940
0;335544;83884;41940;10484;41940;20968;20968;20968;1174404;0;31456;94368;0;83884;0;31456;0;41940;20968;41940;0;0;125828;20968;1006632;83884;125828;0;0;20968;83884;31456;335544;104856;125828
0;335544;83884;41940;10484;41940;20968;20968;20968;1174404;0;31456;94368;0;83884;0;31456;0;41940;20968;10484;0;0;125828;20968;1006632;83884;125828;0;0;20968;251656;31456;293600;104856;125828
0;377484;83884;0;10484;0;20968;20968;0;1174404;0;31456;125828;0;83884;0;31456;0;41940;20968;10484;0;0;125828;20968;1006632;83884;209712;0;0;20968;251656;31456;293600;104856;125828
0;377484;0;41940;31456;0;0;20968;0;1174404;0;94368;125828;0;0;0;31456;0;52428;20968;10484;0;0;125828;20968;1006632;41940;209712;0;0;0;251656;31456;293600;0;167772
0;377484;0;83884;31456;0;0;20968;0;1342176;0;94368;125828;0;0;0;31456;0;52428;0;20968;0;0;125828;20968;1006632;41940;209712;0;0;0;251656;31456;293600;0;167772
0;209712;0;83884;31456;0;20968;0;0;1342176;0;94368;157284;0;0;0;83884;0;52428;0;20968;0;0;125828;20968;838860;41940;293600;0;0;0;251656;20968;293600;0;167772
0;209712;83884;83884;20968;0;41940;0;0;1342176;0;31456;157284;0;251656;0;83884;0;41940;0;20968;0;0;125828;0;838860;41940;293600;0;0;20968;251656;20968;293600;0;41940
0;209712;83884;83884;20968;0;41940;10484;0;1509948;0;31456;157284;0;251656;0;83884;0;41940;0;41940;0;0;125828;0;1174404;41940;293600;0;0;20968;83884;20968;251656;0;41940
0;125828;83884;125828;20968;0;41940;31456;20968;1509948;0;31456;62912;0;251656;0;83884;0;41940;0;41940;0;0;125828;0;1342176;41940;293600;0;0;20968;83884;31456;251656;0;83884
0;125828;83884;125828;10484;0;41940;31456;20968;1509948;0;31456;62912;0;83884;0;41940;0;31456;0;41940;0;0;125828;0;1342176;41940;293600;0;0;0;83884;31456;251656;209712;83884
0;125828;83884;125828;10484;0;41940;31456;20968;1845492;0;31456;62912;0;83884;0;41940;0;31456;62912;10484;0;0;125828;0;1342176;41940;293600;0;0;0;335544;31456;209712;209712;83884
0;83884;83884;125828;10484;0;41940;31456;20968;1845492;0;31456;157284;0;83884;0;52428;0;31456;62912;10484;0;0;125828;0;671088;41940;419428;0;0;0;335544;31456;209712;209712;83884
0;83884;83884;125828;0;0;0;31456;20968;1845492;0;31456;157284;0;0;0;52428;0;31456;62912;10484;0;0;0;20968;671088;0;419428;0;0;0;335544;31456;251656;104856;41940
0;83884;83884;125828;0;0;0;31456;20968;1845492;0;31456;157284;0;0;0;52428;0;31456;20968;0;0;0;0;20968;671088;0;419428;0;0;0;419428;31456;293600;104856;41940
0;125828;83884;125828;10484;0;0;0;20968;1845492;0;31456;157284;0;83884;0;62912;0;31456;20968;0;0;0;0;20968;671088;0;838860;0;0;0;419428;10484;293600;104856;41940
0;125828;41940;125828;10484;0;20968;0;20968;1845492;0;31456;157284;0;83884;0;62912;0;31456;20968;0;0;0;0;20968;671088;41940;838860;0;0;62912;419428;10484;293600;104856;41940
0;125828;41940;125828;10484;0;20968;0;20968;1845492;0;31456;157284;0;83884;0;62912;0;31456;20968;10484;0;0;0;20968;671088;41940;838860;0;0;62912;167772;10484;209712;104856;41940
0;125828;41940;125828;10484;0;20968;10484;20968;1845492;0;31456;94368;0;83884;0;52428;0;31456;20968;20968;0;0;0;20968;2013264;41940;964688;0;0;62912;167772;10484;209712;104856;41940
0;125828;83884;125828;10484;0;0;10484;20968;1845492;0;62912;94368;0;83884;0;52428;0;83884;20968;20968;0;0;0;0;2013264;41940;964688;0;0;62912;167772;10484;209712;0;83884
0;125828;83884;125828;10484;0;0;10484;20968;1845492;0;62912;94368;0;83884;0;52428;0;83884;0;20968;0;0;0;0;2013264;41940;964688;0;0;62912;83884;10484;293600;209712;83884
0;83884;83884;83884;0;0;0;10484;0;1845492;0;62912;62912;0;83884;0;52428;0;83884;0;20968;0;0;0;0;1006632;41940;1300232;0;0;62912;83884;31456;293600;209712;83884
0;83884;125828;83884;20968;0;0;10484;0;1845492;0;94368;62912;0;0;0;62912;0;52428;0;20968;0;0;0;0;1006632;41940;1300232;0;0;62912;83884;31456;461372;209712;0
